Folder,Controller,Start_Modality,Task_1,Task_2,Task_3,Task_4,Task_5,Subject,Trial,Modality,Total Time
AAHF21-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,75.64498901367188,48.87230682373047,39.20026397705078,17.848114013671875,30.904281616210966,AAHF21,2,WITH-VR,212.46995544433597
AAHF21-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,165.3433074951172,307.6023101806641,34.98431396484369,27.26422119140625,37.8162841796875,AAHF21,1,WITH-VR,573.0104370117188
AAHF21-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,37.954383850097656,44.784332275390625,19.000167846679673,17.976135253906264,20.24018096923828,AAHF21,2,NO-VR,139.9552001953125
AAHF21-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,26.21088409423828,28.624366760253906,22.06403350830078,13.376113891601548,18.19223785400392,AAHF21,1,NO-VR,108.46763610839844
AAHF21-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,38.964263916015625,41.38428497314453,17.336158752441406,12.672019958496094,16.224594116210938,AAHF21,3,NO-VR,126.5813217163086
AAHF21-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,67.1939926147461,62.91252899169922,33.05613708496094,15.296249389648438,35.01617431640622,AAHF21,3,WITH-VR,213.4750823974609
ATSF08-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,78.86105346679688,39.736083984375,31.768280029296875,31.58422851562497,24.984176635742244,ATSF08,3,NO-VR,206.93382263183597
ATSF08-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,65.81491088867188,42.64064025878906,60.65614318847656,15.85614013671875,19.488189697265625,ATSF08,2,NO-VR,204.45602416992188
ATSF08-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,67.31475067138672,68.78446197509766,19.05615234375,79.33663940429688,35.56848144531244,ATSF08,3,WITH-VR,270.0604858398437
ATSF08-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,94.14752960205078,39.53626251220703,24.9921875,42.400299072265625,25.480255126953125,ATSF08,1,NO-VR,226.55653381347656
ATSF08-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,102.64176177978516,61.00031280517578,18.304168701171875,24.880111694335938,54.360321044921875,ATSF08,1,WITH-VR,261.1866760253906
ATSF08-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,48.70425415039063,77.03221893310547,31.584251403808594,22.9522705078125,45.24018859863281,ATSF08,2,WITH-VR,225.51318359375
DAMA12-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,57.04369354248047,42.77623748779297,21.78408050537108,176.66539764404297,32.511993408203125,DAMA12,2,WITH-VR,330.7814025878906
DAMA12-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,35.250946044921875,81.16861724853517,40.71231842041014,36.832366943359375,34.71232604980469,DAMA12,3,WITH-VR,228.67657470703125
DAMA12-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,23.93396759033203,29.448101043701172,16.560115814208984,8.168075561523438,17.368186950683594,DAMA12,2,NO-VR,95.47844696044922
DAMA12-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,57.893367767333984,89.28065872192383,30.4000244140625,33.92027282714844,43.9202880859375,DAMA12,1,WITH-VR,255.41461181640625
DAMA12-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,33.53174591064453,22.296600341796875,0.9836502075195312,18.51209259033203,24.424171447753906,DAMA12,3,NO-VR,99.74826049804688
DAMA12-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,91.65943145751952,31.727989196777358,20.2801513671875,32.4002685546875,23.464035034179716,DAMA12,1,NO-VR,199.5318756103516
RENL05-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,105.16954803466795,59.73661041259767,23.192108154296875,15.792129516601591,27.152297973632784,RENL05,1,NO-VR,231.04269409179688
RENL05-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,111.32093811035156,54.8724365234375,48.312393188476534,27.320297241210966,29.328201293945312,RENL05,3,WITH-VR,271.1542663574219
RENL05-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,293.548828125,149.40109252929688,47.512481689453125,32.81622314453125,48.04034423828125,RENL05,1,WITH-VR,571.3189697265625
RENL05-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,88.88246154785156,119.09689331054688,18.448043823242216,19.992202758789034,26.736221313476562,RENL05,2,NO-VR,273.15582275390625
RENL05-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,55.015472412109375,197.69766235351562,19.768280029296875,28.9681396484375,15.712158203125,RENL05,3,NO-VR,317.1617126464844
RENL05-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,116.22761535644533,240.9379425048828,44.8323974609375,11.2401123046875,24.48822021484375,RENL05,2,WITH-VR,437.7262878417969
EECW29-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,68.0,60.94493103027344,28.055068969726562,9.2012939453125,17.312118530273466,EECW29,3,NO-VR,183.51341247558597
EECW29-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,53.87535095214844,72.38455200195312,32.896087646484375,8.328277587890625,18.72796630859375,EECW29,2,NO-VR,186.2122344970703
EECW29-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,66.73347473144531,113.6805725097656,28.41613769531253,28.016281127929688,35.51214599609375,EECW29,2,WITH-VR,272.3586120605469
EECW29-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,60.24703598022461,73.16040420532227,18.43212890625,21.016098022460938,25.872268676757784,EECW29,1,NO-VR,198.7279357910156
EECW29-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,102.11892700195312,72.60050964355469,15.472000122070256,28.792190551757898,29.34423828125,EECW29,3,WITH-VR,248.32786560058597
EECW29-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,65.08980560302734,71.65631866455078,36.552215576171875,34.6161193847656,41.576217651367216,EECW29,1,WITH-VR,249.4906768798828
HASJ22-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,115.45767974853516,118.1449203491211,20.703994750976562,26.056198120117188,33.896331787109375,HASJ22,2,WITH-VR,314.2591247558594
HASJ22-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,85.58348846435547,102.48059844970703,33.79270935058594,94.89619445800781,58.104400634765625,HASJ22,1,WITH-VR,374.8573913574219
HASJ22-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,75.5953598022461,301.4820327758789,35.55206298828131,34.24032592773432,21.03204345703125,HASJ22,1,NO-VR,467.9018249511719
HASJ22-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,64.78697204589844,78.91262817382812,34.960205078125,13.434066772460938,14.678131103515568,HASJ22,3,NO-VR,206.77200317382807
HASJ22-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,107.2678680419922,96.7206573486328,29.560134887695312,105.68092346191406,28.336151123046932,HASJ22,2,NO-VR,367.5657348632813
HASJ22-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,85.55267333984375,102.80873107910156,17.968093872070284,50.50439453125003,43.624603271484375,HASJ22,3,WITH-VR,300.45849609375
DOCS21-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,56.39760208129883,56.81657028198241,19.216201782226577,19.104461669921875,30.887985229492188,DOCS21,1,WITH-VR,182.42282104492188
DOCS21-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,37.91095352172852,53.10416030883788,13.824165344238267,19.080589294433608,16.255699157714844,DOCS21,2,NO-VR,140.17556762695312
DOCS21-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,36.14980697631836,44.77646255493164,11.560020446777344,15.952033996582031,34.28021240234375,DOCS21,3,WITH-VR,142.71853637695312
DOCS21-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,39.18281936645508,52.080326080322266,15.79221343994142,20.280097961425753,28.536216735839858,DOCS21,2,WITH-VR,155.87167358398438
DOCS21-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,37.32645034790039,55.2884407043457,15.24032592773439,20.640052795410142,15.295913696289062,DOCS21,3,NO-VR,143.7911834716797
CEEJ05-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,161.35617065429688,93.59242248535156,64.80836486816406,28.61627197265625,83.10449218750006,CEEJ05,1,WITH-VR,431.4777221679688
CEEJ05-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,99.64006042480467,43.19224548339845,22.808258056640625,24.384292602539062,26.88812255859375,CEEJ05,3,NO-VR,216.91297912597656
CEEJ05-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,97.6072235107422,58.5763702392578,27.648178100585966,107.39286804199216,24.75213623046875,CEEJ05,2,NO-VR,315.9767761230469
CEEJ05-RW-WITH-VR-TRIAL-3-ROSBAGS,CHIRON,NO-VR,94.16897583007812,61.656463623046875,51.50447082519531,43.063995361328125,44.76829528808594,CEEJ05,3,WITH-VR,295.1622009277344
CEEJ05-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,221.3131866455078,57.63243103027344,33.288177490234375,37.0560302734375,27.57623291015625,CEEJ05,1,NO-VR,376.8660583496094
CEEJ05-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,189.1177673339844,78.93649291992185,41.272430419921875,37.303802490234375,71.67239379882812,CEEJ05,2,WITH-VR,418.3028869628906
NULS22-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,90.2569580078125,46.17591857910156,21.920181274414062,80.73635864257812,19.6240234375,NULS22,3,NO-VR,258.71343994140625
NULS22-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,64.82373809814453,63.25696563720703,50.287872314453125,17.736129760742188,28.624465942382812,NULS22,2,WITH-VR,224.7291717529297
NULS22-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,41.61420822143555,64.56850051879883,45.144317626953125,20.536224365234375,58.58439636230469,NULS22,3,WITH-VR,230.44764709472656
NULS22-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,59.61469650268555,35.42403030395508,31.68816375732422,32.23224639892578,20.400131225585938,NULS22,2,NO-VR,179.35926818847656
NULS22-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,111.06487274169922,137.64881134033203,47.592041015625,61.296722412109375,28.927978515625,NULS22,1,NO-VR,386.5304260253906
NULS22-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,53.88237762451172,252.30521392822266,53.6964111328125,39.95211791992193,38.79254150390619,NULS22,1,WITH-VR,438.628662109375
XHKB15-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,31.31001663208008,100.60062789916992,25.736114501953125,20.208114624023438,42.05641174316409,XHKB15,2,NO-VR,219.91128540039065
XHKB15-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,46.1767578125,62.58447265625,31.856216430664062,35.296234130859375,33.64860534667969,XHKB15,1,NO-VR,209.56228637695312
XHKB15-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,40.02979278564453,45.08857727050781,28.823814392089858,24.22421264648436,35.75230407714844,XHKB15,3,NO-VR,173.918701171875
DOFS27-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,49.91669845581055,84.16067886352539,40.4482421875,32.08840942382815,47.2402648925781,DOFS27,2,WITH-VR,253.8542938232422
DOFS27-RW-NO-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,74.52069854736328,52.624351501464844,23.360183715820312,13.912139892578125,21.840194702148438,DOFS27,1,NO-VR,186.257568359375
DOFS27-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,48.29697036743164,121.16912460327148,39.96821594238284,26.32859802246091,54.76812744140625,DOFS27,1,WITH-VR,290.5310363769531
DOFS27-RW-NO-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,78.1565933227539,63.98448944091797,19.992095947265625,16.360137939453125,23.088150024414062,DOFS27,3,NO-VR,201.5814666748047
DOFS27-RW-NO-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,56.4405403137207,47.849117279052734,23.863479614257812,16.768081665039062,19.624191284179688,DOFS27,2,NO-VR,164.54541015625
DOFS27-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,40.32579040527344,72.48818969726562,27.376312255859375,29.808258056640625,43.3283386230469,DOFS27,3,WITH-VR,213.32688903808597
IICM04-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,259.1838073730469,136.95281982421875,50.256317138671875,166.921142578125,71.5284423828125,IICM04,3,WITH-VR,684.842529296875
IICM04-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,278.0001220703125,130.2808837890625,123.120849609375,71.18426513671875,58.3443603515625,IICM04,2,WITH-VR,660.9304809570312
IICM04-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,92.14289093017578,334.73812103271484,78.17648315429688,111.96087646484375,74.0242919921875,IICM04,1,WITH-VR,691.0426635742188
IICM04-RW-NO-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,177.2056121826172,125.90489196777344,32.12017822265625,64.12075805664062,47.34393310546875,IICM04,1,NO-VR,446.69537353515625
IICM04-RW-NO-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,213.2950897216797,167.00852966308594,51.14434814453125,103.00869750976562,71.32025146484375,IICM04,3,NO-VR,605.7769165039062
IICM04-RW-NO-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,120.46929168701172,76.95272064208987,51.8000793457031,99.68058776855469,44.15231323242193,IICM04,2,NO-VR,393.0549926757813
LEMT02-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,189.12005615234372,119.42456054687503,128.26480102539062,200.45712280273438,72.96844482421875,LEMT02,1,WITH-VR,710.2349853515625
MGNH15-RW-NO-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,73.4349365234375,43.520660400390625,49.92796325683594,47.74436950683594,23.608200073242188,MGNH15,2,NO-VR,238.2361297607422
MGNH15-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,43.5248908996582,158.84133529663083,50.784225463867216,73.27255249023438,127.32095336914068,MGNH15,3,WITH-VR,453.7439575195313
MGNH15-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,112.49765014648438,227.46600341796875,90.21627807617188,30.520263671875,158.60943603515625,MGNH15,1,WITH-VR,619.3096313476562
MGNH15-RW-NO-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,58.477176666259766,142.51310348510742,107.56877136230469,65.2884521484375,59.7445068359375,MGNH15,1,NO-VR,433.5920104980469
MGNH15-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,79.91730499267578,183.8733139038086,28.336761474609318,39.56765747070318,59.408721923828125,MGNH15,2,WITH-VR,391.103759765625
MGNH15-RW-NO-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,38.101165771484375,93.90457153320312,54.13638305664057,26.528182983398494,19.936309814453125,MGNH15,3,NO-VR,232.6066131591797
NRKH02-RW-NO-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,97.4620361328125,122.68888854980469,22.03221130371088,21.016082763671932,27.736236572265625,NRKH02,2,NO-VR,290.9354553222656
NRKH02-RW-NO-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,92.42473602294922,83.3284683227539,14.288055419921875,20.648223876953068,38.480270385742244,NRKH02,3,NO-VR,249.1697540283203
NRKH02-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,125.89825439453124,171.68902587890625,74.28866577148438,86.06454467773438,51.53643798828125,NRKH02,3,WITH-VR,509.4769287109375
NRKH02-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,130.2999725341797,89.03257751464838,64.10452270507818,355.21026611328125,66.60833740234375,NRKH02,1,WITH-VR,705.2556762695312
NRKH02-RW-NO-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,94.71600341796876,143.89695739746094,33.36027526855469,63.200592041015625,29.6162109375,NRKH02,1,NO-VR,364.7900390625
NRKH02-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,179.64002990722656,137.46510314941406,51.8724365234375,64.40902709960938,75.78408813476562,NRKH02,2,WITH-VR,509.1706848144531
ARAH22-RW-NO-VR-TRIAL-3-ROSBAG,WBC,NO-VR,61.15253448486328,80.55257415771484,8.968276977539062,20.368011474609375,19.91198730468753,ARAH22,3,NO-VR,190.9533843994141
ARAH22-RW-NO-VR-TRIAL-2-ROSBAG,WBC,NO-VR,92.70188903808594,75.72837829589844,46.83233642578122,59.16046142578128,20.08013916015625,ARAH22,2,NO-VR,294.5032043457031
ARAH22-RW-NO-VR-TRIAL-1-ROSBAG,WBC,NO-VR,83.77598571777344,69.93600463867188,78.06455993652344,72.07244873046875,36.43231201171875,ARAH22,1,NO-VR,340.28131103515625
ARAH22-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,NO-VR,93.73371887207033,106.15296936035155,3.4879760742187784,50.50439453125,26.432220458984347,ARAH22,1,WITH-VR,280.311279296875
ARAH22-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,NO-VR,135.3615264892578,156.3769989013672,45.616363525390625,16.44805908203125,27.89642333984375,ARAH22,2,WITH-VR,381.6993713378906
ARAH22-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,NO-VR,86.24789428710938,81.68060302734375,48.94421386718753,70.6484680175781,38.07232666015625,ARAH22,3,WITH-VR,325.593505859375
BTHH23-RW-NO-VR-TRIAL-1-ROSBAG,WBC,NO-VR,160.0,250.0,11.1256103515625,53.42431640625,37.376495361328125,BTHH23,1,NO-VR,511.9264221191406
BTHH23-RW-NO-VR-TRIAL-3-ROSBAG,WBC,NO-VR,77.12586975097656,105.36882019042969,47.17628479003906,31.800216674804688,36.520416259765625,BTHH23,3,NO-VR,297.9916076660156
BTHH23-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,NO-VR,143.95753479003906,150.00865173339844,100.52078247070312,70.32843017578125,70.83248901367188,BTHH23,1,WITH-VR,535.6478881835938
BTHH23-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,NO-VR,100.95542907714844,122.44902038574222,79.3605041503906,127.68093872070312,88.36868286132812,BTHH23,3,WITH-VR,518.8145751953125
BTHH23-RW-NO-VR-TRIAL-2-ROSBAG,WBC,NO-VR,76.45696258544922,85.09638214111328,42.2724609375,32.1361999511719,45.6003723144531,BTHH23,2,NO-VR,281.5623779296875
BTHH23-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,NO-VR,138.6673126220703,136.63294982910156,80.79254150390625,235.13009643554688,48.4400634765625,BTHH23,2,WITH-VR,639.6629638671875
ELBH19-RW-NO-VR-TRIAL-1-ROSBAG,WBC,NO-VR,177.1903076171875,228.83346557617188,36.51220703125,62.488311767578125,92.2645263671875,ELBH19,1,NO-VR,597.288818359375
ELBH19-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,NO-VR,306.9899597167969,254.87344360351562,126.480712890625,209.01702880859375,52.04833984375,ELBH19,2,WITH-VR,949.4094848632812
ELBH19-RW-NO-VR-TRIAL-2-ROSBAG,WBC,NO-VR,93.3156509399414,74.6247329711914,71.48802185058594,16.94427490234375,30.672149658203125,ELBH19,2,NO-VR,287.0448303222656
ELBH19-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,NO-VR,209.3201904296875,133.31265258789062,95.97683715820307,85.16015625000006,53.2564697265625,ELBH19,3,WITH-VR,577.0263061523438
ELBH19-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,NO-VR,155.3916473388672,83.75257873535156,78.16839599609375,203.68115234375,158.56884765625,ELBH19,1,WITH-VR,679.5626220703125
ELBH19-RW-NO-VR-TRIAL-3-ROSBAG,WBC,NO-VR,67.7331771850586,85.7286605834961,13.807769775390625,25.09620666503909,48.6722717285156,ELBH19,3,NO-VR,241.0380859375
REKD03-RW-NO-VR-TRIAL-1-ROSBAG,WBC,NO-VR,121.83606719970705,94.24034881591795,44.928497314453125,46.60791015625,29.168212890625,REKD03,1,NO-VR,336.7810363769531
REKD03-RW-NO-VR-TRIAL-2-ROSBAG,WBC,NO-VR,67.5968246459961,67.9762191772461,38.00019836425781,28.1522216796875,37.40812683105469,REKD03,2,NO-VR,239.1335906982422
SASD12-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,NO-VR,81.6969985961914,200.9609603881836,44.728179931640625,58.03237915039068,36.424560546875,SASD12,3,WITH-VR,421.8430786132813
SASD12-RW-NO-VR-TRIAL-2-ROSBAG,WBC,NO-VR,91.41780090332033,63.71989440917967,37.65594482421875,12.304107666015653,24.816162109374943,SASD12,2,NO-VR,229.91390991210935
SASD12-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,NO-VR,83.55302429199219,98.99266052246094,48.49620056152344,45.21632385253906,101.50469970703125,SASD12,1,WITH-VR,377.7629089355469
SASD12-RW-NO-VR-TRIAL-3-ROSBAG,WBC,NO-VR,80.97824096679688,58.49627685546875,58.08018493652341,44.9441833496094,38.200271606445256,SASD12,3,NO-VR,280.6991577148437
SASD12-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,NO-VR,103.48020935058594,114.76071166992188,48.39213562011719,31.728240966796875,96.000732421875,SASD12,2,WITH-VR,394.3620300292969
SASD12-RW-NO-VR-TRIAL-1-ROSBAG,WBC,NO-VR,81.69302368164062,226.736083984375,24.544097900390625,33.008087158203125,66.58438110351562,SASD12,1,NO-VR,432.565673828125
